collection_id,bin_id,collection_date,location_type,district,fill_level_percent,fill_level_category,waste_type_primary,days_since_last_collection,nearby_population,overflow_reported,odor_complaint,priority_score,priority_category
COL_0000001,BIN_00001,2022-01-01,residential,East Legon,23.8,low,organic,3,194,0,0,22,LOW
COL_0000002,BIN_00001,2022-01-04,residential,East Legon,19.6,low,organic,3,194,0,0,22,LOW
COL_0000003,BIN_00001,2022-01-07,residential,East Legon,23.7,low,organic,3,194,0,0,22,LOW
COL_0000004,BIN_00001,2022-01-10,residential,East Legon,22.2,low,organic,3,194,0,0,22,LOW
COL_0000005,BIN_00001,2022-01-14,residential,East Legon,31.8,medium,hazardous,4,194,0,0,47,MEDIUM
COL_0000006,BIN_00001,2022-01-17,residential,East Legon,25.2,low,organic,3,194,0,0,22,LOW
COL_0000007,BIN_00001,2022-01-20,residential,East Legon,22.0,low,general,3,194,0,0,17,LOW
COL_0000008,BIN_00001,2022-01-23,residential,East Legon,24.7,low,organic,3,194,0,0,22,LOW
COL_0000009,BIN_00001,2022-01-26,residential,East Legon,20.8,low,recyclable,3,194,0,0,15,LOW
COL_0000010,BIN_00001,2022-01-30,residential,East Legon,28.8,low,recyclable,4,194,0,0,19,LOW
COL_0000011,BIN_00001,2022-02-02,residential,East Legon,23.3,low,recyclable,3,194,0,0,15,LOW
COL_0000012,BIN_00001,2022-02-07,residential,East Legon,28.7,low,organic,5,194,0,0,30,MEDIUM
COL_0000013,BIN_00001,2022-02-11,residential,East Legon,23.5,low,organic,4,194,0,0,26,LOW
COL_0000014,BIN_00001,2022-02-14,residential,East Legon,21.9,low,recyclable,3,194,0,0,15,LOW
COL_0000015,BIN_00001,2022-02-17,residential,East Legon,23.3,low,recyclable,3,194,0,0,15,LOW
COL_0000016,BIN_00001,2022-02-20,residential,East Legon,17.3,low,general,3,194,0,0,17,LOW
COL_0000017,BIN_00001,2022-02-23,residential,East Legon,23.7,low,organic,3,194,0,0,22,LOW
COL_0000018,BIN_00001,2022-02-27,residential,East Legon,35.2,medium,organic,4,194,0,0,32,MEDIUM
COL_0000019,BIN_00001,2022-03-02,residential,East Legon,17.8,low,organic,3,194,0,0,22,LOW
COL_0000020,BIN_00001,2022-03-05,residential,East Legon,16.1,low,organic,3,194,0,0,22,LOW
COL_0000021,BIN_00001,2022-03-08,residential,East Legon,20.9,low,organic,3,194,0,0,22,LOW
COL_0000022,BIN_00001,2022-03-11,residential,East Legon,25.6,low,recyclable,3,194,0,0,15,LOW
COL_0000023,BIN_00001,2022-03-14,residential,East Legon,26.2,low,organic,3,194,0,0,22,LOW
COL_0000024,BIN_00001,2022-03-17,residential,East Legon,20.7,low,recyclable,3,194,0,0,15,LOW
COL_0000025,BIN_00001,2022-03-20,residential,East Legon,27.5,low,general,3,194,0,0,17,LOW
COL_0000026,BIN_00001,2022-03-24,residential,East Legon,25.8,low,recyclable,4,194,0,0,19,LOW
COL_0000027,BIN_00001,2022-03-28,residential,East Legon,29.8,low,general,4,194,0,0,21,LOW
COL_0000028,BIN_00001,2022-03-31,residential,East Legon,17.4,low,organic,3,194,0,0,22,LOW
COL_0000029,BIN_00001,2022-04-04,residential,East Legon,29.7,low,general,4,194,0,0,21,LOW
COL_0000030,BIN_00001,2022-04-11,residential,East Legon,49.8,medium,general,7,194,0,0,34,MEDIUM
COL_0000031,BIN_00001,2022-04-14,residential,East Legon,17.5,low,organic,3,194,0,0,22,LOW
COL_0000032,BIN_00001,2022-04-19,residential,East Legon,24.7,low,organic,5,194,0,0,30,MEDIUM
COL_0000033,BIN_00001,2022-04-22,residential,East Legon,15.1,low,organic,3,194,0,0,22,LOW
COL_0000034,BIN_00001,2022-04-25,residential,East Legon,22.4,low,organic,3,194,0,0,22,LOW
COL_0000035,BIN_00001,2022-04-29,residential,East Legon,23.2,low,general,4,194,0,0,21,LOW
COL_0000036,BIN_00001,2022-05-03,residential,East Legon,26.0,low,organic,4,194,0,0,26,LOW
COL_0000037,BIN_00001,2022-05-06,residential,East Legon,17.7,low,organic,3,194,0,0,22,LOW
COL_0000038,BIN_00001,2022-05-10,residential,East Legon,26.4,low,organic,4,194,0,0,26,LOW
COL_0000039,BIN_00001,2022-05-13,residential,East Legon,16.5,low,general,3,194,0,0,17,LOW
COL_0000040,BIN_00001,2022-05-16,residential,East Legon,13.8,low,organic,3,194,0,0,22,LOW
COL_0000041,BIN_00001,2022-05-19,residential,East Legon,17.3,low,organic,3,194,0,0,22,LOW
COL_0000042,BIN_00001,2022-05-22,residential,East Legon,18.8,low,general,3,194,0,0,17,LOW
COL_0000043,BIN_00001,2022-05-25,residential,East Legon,20.5,low,hazardous,3,194,0,0,37,MEDIUM
COL_0000044,BIN_00001,2022-05-28,residential,East Legon,20.3,low,organic,3,194,0,0,22,LOW
COL_0000045,BIN_00001,2022-05-31,residential,East Legon,10.6,low,general,3,194,0,0,17,LOW
COL_0000046,BIN_00001,2022-06-03,residential,East Legon,17.9,low,organic,3,194,0,0,22,LOW
COL_0000047,BIN_00001,2022-06-07,residential,East Legon,24.3,low,construction,4,194,0,0,16,LOW
