collection_id,bin_id,collection_date,collection_time,day_of_week,is_holiday,holiday_name,is_festival_period,festival_name,days_since_last_collection,fill_level_percent,fill_level_category,waste_weight_kg,waste_type_primary,waste_composition_json,odor_complaint,overflow_reported,collector_notes,temperature_c,rainfall_mm,humidity_percent,location_type,district,capacity_liters,bin_material,has_lid,nearby_population,distance_to_depot_km,road_accessibility,installation_date,latitude,longitude,month,week_of_year,is_weekend,is_month_start,is_month_end,fill_rate_7day_avg,fill_rate_7day_std,weight_7day_avg,prev_fill_level,prev_days_since_collection,bin_age_days,fill_rate_per_day,overflow_count_30day,organic_percent,recyclable_percent
COL_0000001,BIN_00001,2022-01-01,12:03,Saturday,1,New Year's Day,0,,3,23.8,low,13.59,organic,"{""organic"": 52.2, ""recyclable"": 17.4, ""general"": 26.1, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,22.3,0.0,56.4,residential,East Legon,120,plastic,1,194,3.9,easy,2015-05-11,5.523294,0.04007,1,52,1,1,0,23.8,0.0,13.59,35.073209571186396,3.380040574715838,2427,7.933333333333334,0.0,52.2,17.4
COL_0000002,BIN_00001,2022-01-04,12:40,Tuesday,0,,0,,3,19.6,low,10.83,organic,"{""organic"": 52.2, ""recyclable"": 17.4, ""general"": 26.1, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,35.8,0.0,44.3,residential,East Legon,120,plastic,1,194,3.9,easy,2015-05-11,5.523294,0.04007,1,1,0,1,0,21.700000000000003,2.9698484809835004,12.21,23.8,3.0,2430,6.533333333333334,0.0,52.2,17.4
COL_0000003,BIN_00001,2022-01-07,08:32,Friday,1,Constitution Day,0,,3,23.7,low,10.96,organic,"{""organic"": 52.2, ""recyclable"": 17.4, ""general"": 26.1, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,27.0,0.0,37.9,residential,East Legon,120,plastic,1,194,3.9,easy,2015-05-11,5.523294,0.04007,1,1,0,0,0,22.366666666666664,2.3965252624024918,11.793333333333335,19.6,3.0,2433,7.8999999999999995,0.0,52.2,17.4
COL_0000004,BIN_00001,2022-01-10,13:28,Monday,0,,0,,3,22.2,low,13.16,organic,"{""organic"": 52.2, ""recyclable"": 17.4, ""general"": 26.1, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,31.9,0.0,39.4,residential,East Legon,120,plastic,1,194,3.9,easy,2015-05-11,5.523294,0.04007,1,2,0,0,0,22.325,1.9585283590832512,12.135,23.7,3.0,2436,7.3999999999999995,0.0,52.2,17.4
COL_0000005,BIN_00001,2022-01-14,14:57,Friday,0,,0,,4,31.8,medium,20.23,hazardous,"{""organic"": 39.1, ""recyclable"": 17.4, ""general"": 26.1, ""hazardous"": 14.8, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,31.9,0.0,38.8,residential,East Legon,120,plastic,1,194,3.9,easy,2015-05-11,5.523294,0.04007,1,2,0,0,0,24.22,4.564208584190692,13.754000000000001,22.2,3.0,2440,7.95,0.0,39.1,17.4
COL_0000006,BIN_00001,2022-01-17,08:15,Monday,0,,0,,3,25.2,low,16.26,organic,"{""organic"": 52.2, ""recyclable"": 17.4, ""general"": 26.1, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,23.5,0.0,49.9,residential,East Legon,120,plastic,1,194,3.9,easy,2015-05-11,5.523294,0.04007,1,3,0,0,0,24.383333333333336,4.101910124157606,14.171666666666667,31.8,4.0,2443,8.4,0.0,52.2,17.4
COL_0000007,BIN_00001,2022-01-20,17:01,Thursday,0,,0,,3,22.0,low,7.28,general,"{""organic"": 39.1, ""recyclable"": 17.4, ""general"": 39.2, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,32.4,0.0,59.1,residential,East Legon,120,plastic,1,194,3.9,easy,2015-05-11,5.523294,0.04007,1,3,0,0,0,24.042857142857144,3.851344848602517,13.187142857142858,25.2,3.0,2446,7.333333333333333,0.0,39.1,17.4
COL_0000008,BIN_00001,2022-01-23,08:09,Sunday,0,,0,,3,24.7,low,16.92,organic,"{""organic"": 52.2, ""recyclable"": 17.4, ""general"": 26.1, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,27.4,0.0,38.6,residential,East Legon,120,plastic,1,194,3.9,easy,2015-05-11,5.523294,0.04007,1,3,1,0,0,24.17142857142857,3.85690475455569,13.662857142857144,22.0,3.0,2449,8.233333333333333,0.0,52.2,17.4
COL_0000009,BIN_00001,2022-01-26,13:50,Wednesday,0,,0,,3,20.8,low,6.96,recyclable,"{""organic"": 39.1, ""recyclable"": 30.5, ""general"": 26.1, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,33.4,3.1,50.6,residential,East Legon,120,plastic,1,194,3.9,easy,2015-05-11,5.523294,0.04007,1,4,0,0,1,24.342857142857145,3.640447382239873,13.110000000000001,24.7,3.0,2452,6.933333333333334,0.0,39.1,30.5
COL_0000010,BIN_00001,2022-01-30,12:30,Sunday,0,,0,,4,28.8,low,7.78,recyclable,"{""organic"": 39.1, ""recyclable"": 30.5, ""general"": 26.1, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,33.8,0.2,61.5,residential,East Legon,120,plastic,1,194,3.9,easy,2015-05-11,5.523294,0.04007,1,4,1,0,1,25.071428571428573,3.984433998162636,12.655714285714287,20.8,3.0,2456,7.2,0.0,39.1,30.5
COL_0000011,BIN_00001,2022-02-02,08:42,Wednesday,0,,0,,3,23.3,low,6.0,recyclable,"{""organic"": 39.1, ""recyclable"": 30.5, ""general"": 26.1, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,33.7,0.0,74.7,residential,East Legon,120,plastic,1,194,3.9,easy,2015-05-11,5.523294,0.04007,2,5,0,1,0,25.228571428571428,3.87243002334636,11.632857142857144,28.8,4.0,2459,7.766666666666667,0.0,39.1,30.5
COL_0000012,BIN_00001,2022-02-07,13:12,Monday,0,,0,,5,28.7,low,15.51,organic,"{""organic"": 52.2, ""recyclable"": 17.4, ""general"": 26.1, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,32.1,0.0,71.4,residential,East Legon,120,plastic,1,194,3.9,easy,2015-05-11,5.523294,0.04007,2,6,0,0,0,24.785714285714285,3.0948497924932057,10.95857142857143,23.3,3.0,2464,5.74,0.0,52.2,17.4
COL_0000013,BIN_00001,2022-02-11,07:38,Friday,0,,0,,4,23.5,low,11.01,organic,"{""organic"": 52.2, ""recyclable"": 17.4, ""general"": 26.1, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,25.6,0.0,48.5,residential,East Legon,120,plastic,1,194,3.9,easy,2015-05-11,5.523294,0.04007,2,6,0,0,0,24.54285714285714,3.1234901114283167,10.208571428571428,28.7,5.0,2468,5.875,0.0,52.2,17.4
COL_0000014,BIN_00001,2022-02-14,15:57,Monday,0,,0,,3,21.9,low,5.71,recyclable,"{""organic"": 39.1, ""recyclable"": 30.5, ""general"": 26.1, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,30.1,0.0,50.7,residential,East Legon,120,plastic,1,194,3.9,easy,2015-05-11,5.523294,0.04007,2,7,0,0,0,24.52857142857143,3.137256915265461,9.984285714285715,23.5,4.0,2471,7.3,0.0,39.1,30.5
COL_0000015,BIN_00001,2022-02-17,16:05,Thursday,0,,0,,3,23.3,low,8.31,recyclable,"{""organic"": 39.1, ""recyclable"": 30.5, ""general"": 26.1, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,28.4,0.0,52.3,residential,East Legon,120,plastic,1,194,3.9,easy,2015-05-11,5.523294,0.04007,2,7,0,0,0,24.32857142857143,3.168971592233189,8.754285714285714,21.9,3.0,2474,7.766666666666667,0.0,39.1,30.5
