bin_id,location_type,district,capacity_liters,bin_material,has_lid,nearby_population,distance_to_depot_km,road_accessibility,installation_date,latitude,longitude
BIN_00001,residential,East Legon,120,plastic,1,194,3.9,easy,2015-05-11,5.523294,0.04007
BIN_00002,institutional,Kasoa,240,metal,1,1561,8.08,easy,2016-04-19,5.617896,-0.233967
BIN_00003,residential,Kaneshie,120,plastic,1,366,3.96,easy,2016-10-08,5.547284,-0.258533
BIN_00004,hospitality,Spintex,660,metal,1,261,5.17,moderate,2021-12-31,5.653311,-0.22279
BIN_00005,residential,Tema,120,plastic,1,382,4.66,difficult,2019-04-29,5.67032,0.015293
BIN_00006,commercial,Kaneshie,240,plastic,1,552,2.94,easy,2017-12-12,5.61388,0.038534
BIN_00007,market,East Legon,660,plastic,1,2077,9.95,easy,2019-02-04,5.522253,-0.214382
BIN_00008,industrial,Madina,1100,metal,1,94,10.77,moderate,2016-05-17,5.569757,-0.17269
BIN_00009,industrial,La,660,concrete,1,292,10.64,moderate,2016-05-17,5.643355,-0.117047
BIN_00010,commercial,Kaneshie,240,plastic,1,1099,3.38,moderate,2020-04-07,5.665211,-0.197734
BIN_00011,commercial,Achimota,240,metal,1,755,18.57,moderate,2019-05-17,5.621345,0.007582
BIN_00012,institutional,Spintex,240,metal,1,419,6.21,difficult,2018-11-09,5.55647,-0.139054
BIN_00013,institutional,Osu,240,plastic,1,1072,4.46,easy,2016-10-25,5.670866,-0.173343
BIN_00014,commercial,Osu,660,metal,1,397,4.48,moderate,2019-06-25,5.565574,-0.267827
BIN_00015,market,Tema,1100,metal,1,2503,9.13,moderate,2019-08-23,5.608463,-0.08441
BIN_00016,residential,La,120,plastic,1,352,8.7,moderate,2020-12-31,5.653648,-0.174143
BIN_00017,residential,East Legon,240,plastic,1,269,10.29,easy,2019-10-01,5.547899,-0.051991
BIN_00018,residential,Tema,240,plastic,0,220,7.87,moderate,2015-09-20,5.625597,-0.010317
BIN_00019,commercial,Spintex,240,metal,0,646,10.94,easy,2019-08-10,5.636153,0.016046
BIN_00020,institutional,La,660,plastic,0,1613,9.02,moderate,2019-02-05,5.62616,-0.27833
BIN_00021,residential,Tema,120,plastic,0,204,3.16,easy,2017-03-26,5.639439,-0.065621
BIN_00022,institutional,Accra Central,240,plastic,1,1614,2.25,moderate,2021-03-27,5.582896,0.014375
BIN_00023,market,Tema,660,concrete,0,3192,5.07,easy,2016-06-30,5.642969,-0.265611
BIN_00024,hospitality,Airport Residential,660,plastic,1,77,11.35,easy,2015-06-30,5.611567,0.043509
BIN_00025,residential,East Legon,120,metal,1,117,8.01,difficult,2016-07-23,5.668803,-0.256763
BIN_00026,residential,Kaneshie,240,plastic,1,541,4.7,moderate,2015-09-03,5.577519,-0.183115
BIN_00027,institutional,Madina,240,plastic,1,251,8.65,easy,2016-02-04,5.528123,0.012584
BIN_00028,residential,Tema,120,plastic,1,343,7.88,easy,2021-06-19,5.657665,-0.197417
BIN_00029,residential,Kaneshie,120,plastic,1,489,2.08,moderate,2018-05-04,5.654724,-0.215855
BIN_00030,commercial,Madina,660,concrete,0,735,5.91,moderate,2017-04-10,5.589363,-0.034466
BIN_00031,residential,Dansoman,240,metal,0,316,4.56,easy,2018-01-24,5.607876,-0.044183
BIN_00032,market,Ashaiman,1100,concrete,0,2383,9.57,easy,2015-06-03,5.576956,-0.029911
BIN_00033,residential,Airport Residential,120,plastic,1,344,4.58,easy,2021-11-26,5.598659,-0.123754
BIN_00034,residential,Airport Residential,120,plastic,0,318,5.35,easy,2021-10-25,5.600166,-0.102005
BIN_00035,market,La,1100,plastic,0,2091,10.21,moderate,2021-08-24,5.54056,-0.012303
BIN_00036,institutional,Spintex,240,metal,0,552,3.62,easy,2021-12-21,5.618921,-0.168937
BIN_00037,market,East Legon,1100,metal,0,843,4.06,easy,2019-02-25,5.669864,-0.267069
BIN_00038,commercial,East Legon,240,plastic,1,591,11.91,easy,2017-09-04,5.560003,-0.08842
BIN_00039,institutional,Ashaiman,240,plastic,1,943,6.4,moderate,2016-08-18,5.652233,-0.174384
BIN_00040,institutional,Accra Central,240,metal,1,1006,5.78,moderate,2017-04-30,5.598884,-0.252516
BIN_00041,residential,Spintex,120,plastic,0,416,10.11,easy,2017-12-01,5.67588,0.048657
BIN_00042,residential,Madina,240,plastic,1,188,9.85,moderate,2019-03-23,5.588175,-0.20655
BIN_00043,residential,Achimota,240,plastic,1,494,12.49,easy,2016-05-14,5.55787,0.019539
