collection_id,bin_id,collection_date,collection_time,day_of_week,is_holiday,holiday_name,is_festival_period,festival_name,days_since_last_collection,fill_level_percent,fill_level_category,waste_weight_kg,waste_type_primary,waste_composition_json,odor_complaint,overflow_reported,collector_notes,temperature_c,rainfall_mm,humidity_percent
COL_0000001,BIN_00001,2022-01-01,12:03,Saturday,1,New Year's Day,0,,3,23.8,low,13.59,organic,"{""organic"": 52.2, ""recyclable"": 17.4, ""general"": 26.1, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,22.3,0.0,56.4
COL_0000002,BIN_00001,2022-01-04,12:40,Tuesday,0,,0,,3,19.6,low,10.83,organic,"{""organic"": 52.2, ""recyclable"": 17.4, ""general"": 26.1, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,35.8,0.0,44.3
COL_0000003,BIN_00001,2022-01-07,08:32,Friday,1,Constitution Day,0,,3,23.7,low,10.96,organic,"{""organic"": 52.2, ""recyclable"": 17.4, ""general"": 26.1, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,27.0,0.0,37.9
COL_0000004,BIN_00001,2022-01-10,13:28,Monday,0,,0,,3,22.2,low,13.16,organic,"{""organic"": 52.2, ""recyclable"": 17.4, ""general"": 26.1, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,31.9,0.0,39.4
COL_0000005,BIN_00001,2022-01-14,14:57,Friday,0,,0,,4,31.8,medium,20.23,hazardous,"{""organic"": 39.1, ""recyclable"": 17.4, ""general"": 26.1, ""hazardous"": 14.8, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,31.9,0.0,38.8
COL_0000006,BIN_00001,2022-01-17,08:15,Monday,0,,0,,3,25.2,low,16.26,organic,"{""organic"": 52.2, ""recyclable"": 17.4, ""general"": 26.1, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,23.5,0.0,49.9
COL_0000007,BIN_00001,2022-01-20,17:01,Thursday,0,,0,,3,22.0,low,7.28,general,"{""organic"": 39.1, ""recyclable"": 17.4, ""general"": 39.2, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,32.4,0.0,59.1
COL_0000008,BIN_00001,2022-01-23,08:09,Sunday,0,,0,,3,24.7,low,16.92,organic,"{""organic"": 52.2, ""recyclable"": 17.4, ""general"": 26.1, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,27.4,0.0,38.6
COL_0000009,BIN_00001,2022-01-26,13:50,Wednesday,0,,0,,3,20.8,low,6.96,recyclable,"{""organic"": 39.1, ""recyclable"": 30.5, ""general"": 26.1, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,33.4,3.1,50.6
COL_0000010,BIN_00001,2022-01-30,12:30,Sunday,0,,0,,4,28.8,low,7.78,recyclable,"{""organic"": 39.1, ""recyclable"": 30.5, ""general"": 26.1, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,33.8,0.2,61.5
COL_0000011,BIN_00001,2022-02-02,08:42,Wednesday,0,,0,,3,23.3,low,6.0,recyclable,"{""organic"": 39.1, ""recyclable"": 30.5, ""general"": 26.1, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,33.7,0.0,74.7
COL_0000012,BIN_00001,2022-02-07,13:12,Monday,0,,0,,5,28.7,low,15.51,organic,"{""organic"": 52.2, ""recyclable"": 17.4, ""general"": 26.1, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,32.1,0.0,71.4
