date,temperature_c,rainfall_mm,humidity_percent,is_rainy_season,is_dry_season
2022-01-01,22.3,0.0,56.4,0,1
2022-01-02,27.3,0.0,57.9,0,1
2022-01-03,29.3,0.0,41.7,0,1
2022-01-04,35.8,0.0,44.3,0,1
2022-01-05,32.0,0.0,57.0,0,1
2022-01-06,27.4,0.0,38.8,0,1
2022-01-07,27.0,0.0,37.9,0,1
2022-01-08,34.3,0.0,68.3,0,1
2022-01-09,30.9,0.0,71.7,0,1
2022-01-10,31.9,0.0,39.4,0,1
2022-01-11,28.9,0.0,49.6,0,1
2022-01-12,27.4,0.0,40.8,0,1
2022-01-13,30.7,0.0,65.6,0,1
2022-01-14,31.9,0.0,38.8,0,1
2022-01-15,30.1,0.0,69.4,0,1
2022-01-16,30.5,0.0,35.4,0,1
2022-01-17,23.5,0.0,49.9,0,1
2022-01-18,28.7,0.0,72.3,0,1
2022-01-19,29.3,0.0,36.3,0,1
2022-01-20,32.4,0.0,59.1,0,1
2022-01-21,27.1,6.5,53.2,0,1
2022-01-22,29.1,0.0,59.2,0,1
2022-01-23,27.4,0.0,38.6,0,1
2022-01-24,31.3,0.0,65.0,0,1
2022-01-25,30.2,0.0,41.9,0,1
2022-01-26,33.4,3.1,50.6,0,1
2022-01-27,28.8,0.0,53.5,0,1
2022-01-28,27.7,0.0,42.2,0,1
2022-01-29,26.8,0.0,55.6,0,1
2022-01-30,33.8,0.2,61.5,0,1
2022-01-31,32.0,0.0,53.7,0,1
2022-02-01,31.5,0.0,37.6,0,1
2022-02-02,33.7,0.0,74.7,0,1
2022-02-03,32.7,0.0,55.2,0,1
2022-02-04,32.0,13.4,54.8,0,1
2022-02-05,30.2,0.0,48.7,0,1
2022-02-06,29.4,0.0,37.9,0,1
2022-02-07,32.1,0.0,71.4,0,1
2022-02-08,26.9,0.0,33.5,0,1
2022-02-09,28.3,0.6,53.2,0,1
2022-02-10,29.8,0.0,65.9,0,1
2022-02-11,25.6,0.0,48.5,0,1
2022-02-12,31.6,0.0,67.3,0,1
2022-02-13,32.1,0.0,73.2,0,1
2022-02-14,30.1,0.0,50.7,0,1
2022-02-15,27.6,0.0,61.9,0,1
2022-02-16,29.8,0.0,53.5,0,1
2022-02-17,28.4,0.0,52.3,0,1
2022-02-18,30.5,0.0,34.0,0,1
2022-02-19,33.8,0.0,45.0,0,1
2022-02-20,27.5,0.0,62.8,0,1
2022-02-21,28.6,0.0,50.3,0,1
2022-02-22,32.9,0.0,68.0,0,1
2022-02-23,29.1,0.0,39.2,0,1
2022-02-24,26.7,0.0,70.9,0,1
2022-02-25,31.6,0.0,39.3,0,1
2022-02-26,30.8,0.0,45.3,0,1
