Feature,DT,RF,XGB,Average
fill_level_category_encoded,1.0,0.31914070118316584,1.0,0.7730469003943886
fill_momentum,0.0,0.2285364396217968,0.0,0.07617881320726559
fill_rate_per_day,0.0,0.162157870849604,0.0,0.05405262361653467
overflow_risk_score,0.0,0.050235054094379714,0.0,0.016745018031459905
fill_rate_7day_avg,0.0,0.04860761907841247,0.0,0.016202539692804156
capacity_fill_ratio,0.0,0.041364528079038954,0.0,0.013788176026346318
weight_7day_avg,0.0,0.03296590257085301,0.0,0.010988634190284336
location_type_residential,0.0,0.01890988234499984,0.0,0.006303294114999947
fill_rate_7day_std,0.0,0.017111364351986107,0.0,0.005703788117328703
days_since_last_collection,0.0,0.012967158260764926,0.0,0.004322386086921642
prev_fill_level,0.0,0.01122612985095231,0.0,0.00374204328365077
capacity_liters,0.0,0.009073473102035151,0.0,0.0030244910340117173
organic_percent,0.0,0.006049141994267195,0.0,0.0020163806647557317
overflow_count_30day,0.0,0.005494794536714487,0.0,0.001831598178904829
recyclable_percent,0.0,0.00517150863973403,0.0,0.0017238362132446765
location_type_market,0.0,0.005157827811342587,0.0,0.0017192759371141956
population_fill_ratio,0.0,0.005040330067415148,0.0,0.001680110022471716
location_type_hospitality,0.0,0.0032367187865203094,0.0,0.0010789062621734365
nearby_population,0.0,0.002638815399183584,0.0,0.0008796051330611947
week_of_year,0.0,0.0019912638327430378,0.0,0.0006637546109143459
is_festival_period,0.0,0.0018692559422866096,0.0,0.0006230853140955366
humidity_percent,0.0,0.0018235373214800584,0.0,0.0006078457738266861
month,0.0,0.0012840411206975384,0.0,0.0004280137068991795
location_type_institutional,0.0,0.001202924342175721,0.0,0.0004009747807252404
bin_material_plastic,0.0,0.0009669415176947921,0.0,0.00032231383923159737
location_type_industrial,0.0,0.000743134848322551,0.0,0.000247711616107517
quarter,0.0,0.0007190143123635177,0.0,0.0002396714374545059
season_wet,0.0,0.0006343202733285104,0.0,0.00021144009110950345
day_of_week_encoded,0.0,0.000568090096794794,0.0,0.00018936336559826467
rainfall_mm,0.0,0.0005129550902808271,0.0,0.00017098503009360905
prev_days_since_collection,0.0,0.0003771608662701678,0.0,0.00012572028875672262
has_lid,0.0,0.0003216838657844473,0.0,0.00010722795526148243
temperature_c,0.0,0.00028432491012711806,0.0,9.477497004237269e-05
weather_score,0.0,0.00021103805836703642,0.0,7.03460194556788e-05
day_of_month,0.0,0.00019738642723922468,0.0,6.579547574640823e-05
is_weekend,0.0,0.00018966682698920618,0.0,6.322227566306873e-05
longitude,0.0,0.00016216845201810808,0.0,5.405615067270269e-05
latitude,0.0,0.00014719447179118206,0.0,4.906482393039402e-05
bin_age_days,0.0,0.0001406345618929042,0.0,4.687818729763473e-05
distance_to_depot_km,0.0,0.00013039987401126807,0.0,4.346662467042269e-05
waste_type_primary_organic,0.0,0.00010599941537765724,0.0,3.533313845921908e-05
district_encoded,0.0,0.00010024217093239069,0.0,3.341405697746356e-05
is_holiday,0.0,3.8027689534586845e-05,0.0,1.2675896511528949e-05
is_late_month,0.0,3.698085644713144e-05,0.0,1.2326952149043812e-05
is_early_month,0.0,3.644767014608906e-05,0.0,1.2149223382029686e-05
is_month_start,0.0,2.9753948186607756e-05,0.0,9.917982728869252e-06
is_month_end,0.0,2.7580331435647275e-05,0.0,9.193443811882425e-06
waste_type_primary_recyclable,0.0,1.9584728174874057e-05,0.0,6.528242724958019e-06
bin_material_metal,0.0,1.7975612517883924e-05,0.0,5.991870839294641e-06
waste_type_primary_general,0.0,1.194694418422593e-05,0.0,3.98231472807531e-06
waste_type_primary_hazardous,0.0,9.404882022128122e-06,0.0,3.1349606740427073e-06
waste_type_primary_e_waste,0.0,3.6581152154992323e-06,0.0,1.219371738499744e-06
road_accessibility_encoded,0.0,0.0,0.0,0.0
